Year,Date,Time,Country,Area,Location,Activity,Type,Sex ,Age,Injury,Fatal (Y/N),Species ,Case Number,original order,N_Attacks,
2016,07-Jul-16,,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,Boat,M,,"No injury. Hull bitten, tooth fragment recovered",N,White shark,2016.07.07.a,5956,1,
2016,29-May-16,16h00,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,Unprovoked,F,52,Injuries to arm and shoulder,N,,2016.05.29.b,5936,1,
2016,13-Mar-16,Morning,USA,California,"Bolsa Chica State Park, Orange County",Surfing,Invalid,,,Board reportedly bumped by shark. No injury,N,Shark involvement not confirmed,2016.03.13,5912,1,
2016,17-Jul-16,,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,Boat,,,"No injury, shark bit trolling motor",N,"Tiger shark, 10' ",2016.07.17,5964,1,
2016,24-Jan-16,,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,Boat,M,,"No injury to occupants, shark leapt into boat",N,Mako shark,2016.01.24.a,5895,1,
2016,Reported 08-Jul-2016,,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,Unprovoked,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,2016.07.08.R,5959,1,
2016,29-Jul-16,11h30,SPAIN,Alicante Province,Arenales del Sol,Swimming,Unprovoked,M,40,Lacerations to right hand,N,Blue shark,2016.07.29,5973,1,
2016,23-Jun-16,,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,Unprovoked,M,43,Injuries to left leg & right hand,N,White shark,2016.06.23,5950,1,
2016,22-Apr-16,08h00,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,Unprovoked,M,,"No injury, surf-ski bitten",N,White shark,2016.04.22,5925,1,
2016,29-Jan-16,,SOUTH AFRICA,KwaZulu-Natal,,Kayak fishing,Boat,M,,"No injury, shark capsized kayak",N,,2016.01.29,5899,1,
2016,27-Aug-16,17h00,REUNION,,Boucan Canot,Surfing,Unprovoked,M,20,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",2016.08.27,5978,1,
2016,02-May-16,Afternoon,NEW ZEALAND,North Island,Cormandel,Fishing,Provoked,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] ",2016.05.02,5928,1,
2016,22-Feb-16,19h00,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,Unprovoked,M,21,Puncture wounds to right thigh,N,,2016.02.22,5906,1,
2016, 19-Feb-2016,16h00,NEW CALEDONIA,South Province,Yate,Spearfishing,Unprovoked,M,31,Forearm bitten,N,,2016.02.19,5905,1,
2016,06-Sep-16,15h40,NEW CALEDONIA,North Province,Koumac,Kite surfing,Unprovoked,M,50,FATAL,Y,,2016.09.06,5985,1,
2016,09-Apr-16,10h45,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,Unprovoked,F,69,FATAL,Y,"Tiger shark, 2.5 m",2016.04.09,5921,1,
2016,02-Jun-16,Afternoon,NEW CALEDONIA,," C�te-Blanche, Noum�a ",Kite surfing,Unprovoked,M,,Laceration to heel,N,3 m shark,2016.06.02.a,5938,1,
2016,24-Jul-16,19h05,JAPAN,Kochi Prefecture,Irino Beach,Surfing,Unprovoked,M,29,Lacerations to left leg,N,,2016.07.24,5968,1,
2016,25-Apr-16,07h00,INDONESIA,Bali,Balian,Surfing,Unprovoked,M,24,Elbow bitten,N,"Bull shark, 6'",2016.04.25,5927,1,
2016,10-Mar-16,Afternoon,Fiji,Vanua Levu,,Diving for beche-de-mer,Unprovoked,M,45,FATAL,Y,,2016.03.10,5910,1,
2016,18-Apr-16,,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,Provoked,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Grey reef shark, 2 m",2016.04.18,5923,1,
2016,04-Jun-16,Morning,EGYPT,Suez,Ain Sokhna,Swimming,Unprovoked,M,23,"Leg severely bitten, surgically amputated",N,Mako shark,2016.06.04,5940,1,
2016,12-Feb-16,15h00,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,Unprovoked,F,,Avulsion injury to lower leg,N,,2016.02.12,5904,1,
2016,24-Jun-16,11h00,COLUMBIA,Isla Provedencia,,Scuba Diving,Unprovoked,M,59,Severe bite to right hand,N,"Caribbean reef shark, 4.5'",2016.06.24,5951,1,
2016,28-Jul-16,,CHINA,Hong Kong,,Swimming,Unprovoked,M,72,Lacerations to leg,N,,2016.07.28.R,5972,1,
2016,Reported 10-Feb-2016,,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,Invalid,M,65,Minor injury to wrist from Southern stingray,N,No shark involvement,2016.02.10.R,5903,1,
2016,08-Apr-16,,CAPE VERDE,Boa Vista Island,,,Invalid,M,60,"""Serious""",N,Shark involvement not confirmed,2016.04.08,5920,1,
2016,02-Mar-16,,BRAZIL,Santa Catarina State,Escalerio Beach Balne�rio Cambori�,Swimming,Unprovoked,M,41,Minor injury to head,N,Sandtiger shark,2016.03.02,5907,1,
2016,07-Aug-16,,BAHAMAS,New Providence Island,Nassau,Snorkeling,Unprovoked,M,15,Lacerations to left leg,N,,2016.08.07,5976,1,
2016,23-Jul-16,,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,Unprovoked,M,,Lacerations to face and right leg,N,"Bull shark, 6'",2016.07.23.a,5966,1,
2016,Reported  14-Jul-2016,,BAHAMAS,,Tiger Beach,Scuba Diving,Unprovoked,M,,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'",2016.07.14.4,5960,1,
2016,26-Mar-16,,BAHAMAS,,,,Provoked,M,9,Minor injury to chest PROVOKED INCIDENT,N,"Nurse shark, 2.5-ft",2016.03.26,5913,1,
2016,15-Sep-16,,AUSTRALIA,Western Australia,Bunbury,Fishing,Boat,,,Shark rammed boat. No injury to occupant,N,,2016.09.15.R,5988,1,
2016,05-Sep-16,Late afternoon,AUSTRALIA,Western Australia,Injidup ,Surfing,Unprovoked,M,,"No inury, board broken in half by shark",N,,2016.09.05.a,5983,1,
2016,28-Jul-16,,AUSTRALIA,Western Australia,Near Albany,Kayaking,Boat,M,,"No injury, shark nudged kayak repeatedly",N,White shark,2016.07.28,5971,1,
2016,15-Jun-16,,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,Provoked,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5' shark,2016.06.15.a,5946,1,
2016,05-Jun-16,11h30,AUSTRALIA,Western Australia,Mindarie,Diving,Unprovoked,F,60,FATAL,Y,3+ m shark,2016.06.05.a,5941,1,
2016,31-May-16,16h00,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,Unprovoked,M,29,FATAL,Y,White shark,2016.05.31,5937,1,
2016,17-Sep-16,,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,Unprovoked,M,,Struck by fin on chest & leg,N,,2016.09.17,5990,1,
2016,16-Sep-16,,AUSTRALIA,Victoria,Bells Beach,Surfing,Unprovoked,M,,No injury: Knocked off board by shark,N,2 m shark,2016.09.15,5989,1,
2016,23-Jul-16,,AUSTRALIA,Tasmania,Clifton Beach,Surfing,Unprovoked,M,36,Calf bumped but no injury,N,,2016.07.23.b,5967,1,
2016,10-Feb-16,12h30,AUSTRALIA,Tasmania,Nettley Bay,Surfing,Invalid,M,,"No injury, knocked off board",N,No shark involvement,2016.02.10,5902,1,
2016,Reported 03-Mar-2016,Midnight,AUSTRALIA,South Australia,Wrights Bay,Fishing,Unprovoked,M,,Puncture wounds to right calf,N,Bronze whaler,2016.03.03.R,5908,1,
2016,20-Jul-16,After noon,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,Provoked,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"reef shark, 1m",2016.07.20,5965,1,
2016,04-Jul-16,22h00,AUSTRALIA,Queensland,Palm Cove ,Fishing,Provoked,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Tawny nurse shark,2016.07.04,5954,1,
2016,05-Feb-16,13h20,AUSTRALIA,Queensland,Stradbroke Island,Walking,Unprovoked,F,45,Foot nipped,N,,2016.02.05,5901,1,
2016,Reported 11-Jan-2016,,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,Unprovoked,M,,Laceration to right foot,N,Wobbegong shark,2016.01.11.R,5893,1,
2016,05-Jan-16,Afternoon,AUSTRALIA,Queensland,Heron Island,Wading,Unprovoked,M,11,Laceration to right calf,N,Blacktip shark,2016.01.05,5892,1,
2016,02-Jan-16,11h30,AUSTRALIA,Queensland,Miall Island,Spearfishing,Unprovoked,M,31,Lacerations to arms & leg,N,3 m shark,2016.01.02,5891,1,
2016,26-Jul-16,12h00,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,Unprovoked,M,18,"No injury. Leg rope severed, knocked off board by shark",N,,2016.07.26,5969,1,
2016,02-Jun-16,,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,Unprovoked,M,,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,Bronze whaler sharks x 3,2016.06.02.b,5939,1,
2016,19-Apr-16,12h00,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,Unprovoked,M,12,Minor puncture wound to foot,N,Wobbegong shark,2016.04.19,5924,1,
2016,30-Mar-16,19h00,AUSTRALIA,New South Wales,Bombo Beach,Surfing,Unprovoked,M,22,Severe injury to thigh,N,,2016.03.30,5916,1,
2016,28-Mar-16,11h00,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,Unprovoked,M,41,"No injury, board dented",N,,2016.03.28.a,5914,1,
2016,04-Feb-16,Late afternoon,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,Unprovoked,M,40,"No injury, shark bit board",N,,2016.02.04,5900,1,
2015,05-Oct-15,10h00,USA,Texas,Galveston,Wading,Unprovoked,M,13,Foot & hands bitten,N,4' to 5' shark,2015.10.05.a,5858,1,
2015,09-Oct-15,16h20,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,Unprovoked,F,9,Laceration to forearm,N,,2015.10.09.b,5863,1,
2015,03-Sep-15,16h00,USA,South Carolina,"Myrtle Beach, Horry County",,Unprovoked,M,,Right foot bitten,N,4' shark?,2015.09.03,5843,1,
2015,20-Aug-15,12h30,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,Unprovoked,M,15,"Injuries to left calf, arm and hand",N,4' shark,2015.08.20,5836,1,
2015,26-Jul-15,10h10,USA,South Carolina,"Edisto Beach, Colleton County",Floating,Invalid,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",2015.07.26.a,5829,1,
2015,30-Jun-15,18h05,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,Unprovoked,M,12,Shallow lacerations & puncture to lateral left leg,N,4' to 5' shark,2015.06.30.a,5814,1,
2015,26-Jun-15,11h00,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,Unprovoked,M,43,Puncture wounds to foot,N,4' shark,2015.06.26.a,5809,1,
2015,23-Jun-15,,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,Unprovoked,M,9,Minor injury to calf ,N,small shark,2015.06.23,5804,1,
2015,15-May-15,14h15,USA,South Carolina,Sullivan's Island,,Unprovoked,M,30,Laceration to foot ,N,6' shark,2015.05.15,5789,1,
2015,04-Jul-15,Evening,USA,North Carolina,"Off Surf City, Pender County",,Unprovoked,M,32,Lacerations to right hand & forearm,N,,2015.07.04.a,5819,1,
2015,01-Jul-15,12h10,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,Unprovoked,M,68,"Injuries to torso, hip, lower leg & hands",N,6' to 7' shark,2015.07.01,5816,1,
2015,27-Jun-15,16h00,USA,North Carolina,"Rodanthe, Dare County",Swimming,Unprovoked,M,18,"Injuries to right calf, buttock and both hands",N,Bull shark,2015.06.27.b,5813,1,
2015,25-Jun-15,11h41,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,Unprovoked,M,47,Multiple lacerations to back,N,,2015.06.25,5807,1,
2015,24-Jun-15,12h25,USA,North Carolina,Surf City,Swimming,Unprovoked,M,6,Minor injury to foot,N,Sandtiger shark,2015.06.24.b,5806,1,
2015,14-Jun-15,17h51,USA,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,M,16,Arm amputated below shoulder,N,Bull shark,2015.06.14.b,5801,1,
2015,14-Jun-15,16h12,USA,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,F,12,Left arm amputated at elbow & severe injury to leg,N,Bull shark,2015.06.14.a,5800,1,
2015,11-Jun-15,12h45,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,Unprovoked,F,13,Minor lacerations to foot,N,4' shark,2015.06.11,5798,1,
2015,22-Dec-15,Morning,USA,Hawaii,La'aloa Beach Park,Paddle boarding,Unprovoked,M,71,"No injury, shark bit board",N,9' shark,2015.12.22,5888,1,
2015,03-Nov-15,11h00,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,Unprovoked,M,54,Laceration to right ankle,N,,2015.11.03,5875,1,
2015,28-Oct-15,14h50,USA,Hawaii,"Malaka, Oahu",Body boarding,Unprovoked,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,,2015.10.28.a,5871,1,
2015,17-Oct-15,19h20,USA,Hawaii,"Waikiki, ",Surfing,Invalid,M,32,Left foot bitten by eel,N,No shark involvement,2015.10.17.b,5866,1,
2015,17-Oct-15,11h30,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,Unprovoked,M,44,Injuries to lower legs,N,"Tiger shark, 7'",2015.10.17.a,5865,1,
2015,09-Oct-15,10h25,USA,Hawaii,"Leftovers, Oahu",Surfing,Unprovoked,M,25,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' ",2015.10.09.a,5862,1,
2015,20-Sep-15,15h52,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,Unprovoked,M,27,Severe laceration to left leg,N,"Tiger shark, 13'",2015.09.20.c,5852,1,
2015,29-Apr-15,09h00,USA,Hawaii,Kanahena Cove ,Snorkeling,Unprovoked,F,65,FATAL,Y,,2015.04.29,5784,1,
2015,18-Mar-15,11h45,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,Unprovoked,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,"Tiger shark, 8 to 12 feet",2015.03.18,5772,1,
2015,27-Jan-15,03h30,USA,Hawaii,Lahaina,Shark fishing,Provoked,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,4' shark,2015.01.27,5761,1,
2015,16-Nov-15,Afternoon,USA,Florida,"Playalinda Beach, Brevard County",Surfing,Unprovoked,M,,Right heel injured,N,,2015.11.16,5880,1,
2015,15-Nov-15,Morning,USA,Florida,"Palm Beach, Palm Beach County",Swimming,Unprovoked,F,,Leg injured,N,,2015.11.15.b,5879,1,
2015,15-Nov-15,,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,Unprovoked,M,28,Lacerations to hand,N,"Spinner shark, 7'",2015.11.15.a,5878,1,
2015,07-Nov-15,11h00,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,Invalid,F,9,Lower left leg injured,N,Shark involvement not confirmed,2015.12.23,5876,1,
2015,01-Nov-15,14h00,USA,Florida,"Cocoa Beach, Brevard  County",Wading,Unprovoked,F,28,Injury to right ankle/calf & hand,N,3' to 5' shark,2015.11.01.b,5874,1,
2015,21-Oct-15,14h30,USA,Florida,"Playalinda Beach, Brevard County",Surfing,Unprovoked,M,21,Lacerations to left hand,N,5' shark,2015.10.21,5869,1,
2015,19-Oct-15,13h50,USA,Florida,"Deerfield Beach, Broward County",Surfing,Unprovoked,M,21,Left foot bitten,N,"Spinner shark, 5'",2015.10.19,5868,1,
2015,05-Oct-15,13h00,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,Unprovoked,M,22,2 lacerations to ankle,N,,2015.10.05.b,5859,1,
2015,04-Oct-15,08h30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,14,Severe lacerations to left hand,N,"Blacktip shark, 4' to 5'",2015.10.04,5857,1,
2015,29-Sep-15,16h20,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,Unprovoked,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,"Blacktip shark, 5' to 6'",2015.09.29,5856,1,
2015,20-Sep-15,16h45,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,14,Minor injury to left ankle,N,juvenile shark,2015.09.20.d,5853,1,
2015,20-Sep-15,12h30,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,Unprovoked,M,12,Significant injuries to leg,N,4' shark,2015.09.20.b,5851,1,
2015,20-Sep-15,07h30,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,Unprovoked,M,16,Injury to right hand / wrist,N,,2015.09.20.a,5850,1,
2015,18-Sep-15,19h00,USA,Florida,"Big Talbot Island, Duval County",Swimming,Unprovoked,M,,Lacerations to calf,N,,2015.09.18,5849,1,
2015,17-Sep-15,15h00,USA,Florida,"Jacksonville Beach, Duval County",Surfing,Unprovoked,M,20,Injury to right foot,N,,2015.09.17,5848,1,
2015,22-Aug-15,19h45,USA,Florida,"Cocoa Beach, Brevard  County",,Invalid,M,,Wound to right lower leg,N,Shark involvement not confirmed,2015.08.22.b,5838,1,
2015,19-Aug-15,15h30,USA,Florida,"Jacksonville Beach, Duval County",Walking,Unprovoked,F,10,Lacerations to right leg,N,3' shark,2015.08.19,5835,1,
2015,26-Jul-15,19h00,USA,Florida,"Daytona Beach, Volusia County",Surfing,Unprovoked,M,25,Minor injury to sole of foot,N,"Blacktip or spinner shark, 4'",2015.07.26.b,5830,1,
2015,26-Jun-15,19h30,USA,Florida,"Jacksonville Beach, Duval County",Swimming,Invalid,F,,Minor lacerations to leg,N,Shark involvement not confirmed,2015.06.26.c,5811,1,
2015,17-Jun-15,13h00,USA,Florida,Daytona Beach Shores,Swimming,Unprovoked,M,10,Minor injury to calf ,N,,2015.06.17,5802,1,
2015,07-Jun-15,10h50,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,Unprovoked,M,11,Lacerations to right calf,N,"Bull shark, 5'",2015.06.07,5797,1,
2015,05-Jun-15,,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,Unprovoked,F,17,Puncture wound to finger,N,small nurse shark,2015.06.05,5796,1,
2015,29-May-15,15h00,USA,Florida,"Cocoa Beach, Brevard  County",Standing,Unprovoked,F,14,Left foot bitten,N,,2015.05.29.b,5794,1,
2015,29-May-15,13h45,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,F,19,Minor lacerations to dorsum of right foot,N,,2015.05.29.a,5793,1,
