,Author,Title,Lyrics
17,Bruce Springsteen,Lonesome Day," knew\nEverything I needed to know about you\nYour sweet whisper, your tender touch\nBut I didn't really know that much\n\nThe joke's on me\nBut it's gonna be okay\nIf I can just get through this lonesome day\n\nLonesome day\n\nHell's brewing, dark sun's on the rise\nThis storm will blow through by and by\nHouse is on fire, vipers in the grass\nA little revenge and this too shall pass\n\nThis too shall pass, darling\nYeah, I'm gonna pray\nRight now all I got's this lonesome day\n\nLonesome day\n\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright\n\nBetter ask questions before you shoot\nDeceit and betrayal's bitter fruit\nIt's hard to swallow, come time to pay\nThat taste on your tongue don't easily slip away\n\nLet kingdom come\nI'm gonna find my way\nYeah, through this lonesome day\n\nLonesome day\nLonesome day\nLonesome day\n\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\nIt's alright, it's alright, it's alright yeah\n\nLonesome day\nLonesome day\nLonesome day"
18,Bruce Springsteen,Drive All Night,"sometimes I think I lost my guts too\nAnd I wish God would send me a word\nSend me something I'm afraid to lose\nLying in the heat of the night like prisoners all our lives\nI get shivers down my spine and all I wanna do is hold you tight\n\nI swear I'll drive all night just to buy you some shoes\nAnd to taste your tender charms\nAnd I just wanna sleep tonight again in your arms\n\nTonight there's fallen angels and they're waiting for us down in the street\nTonight there's calling strangers,\nHear them crying in defeat.\nLet them go, let them go, let them go,\nDo their dances of the dead (let'em go right ahead)\nYou just dry your eyes girl, and c'mon c'mon\nC'mon let's go to bed, baby, baby, baby\n\nI swear I'll drive all night just to buy you some shoes\nAnd to taste your tender charms\nAnd I just wanna sleep tonight again in your arms\n\nThere's machines and there's fire waiting on the edge of town\nThey're out there for hire but baby they can't hurt us now\n'Cause you've got, you've got, you've got,\nYou've got my love, you've got my love\nThrough the wind, through the rain, the snow, the wind, the rain\nYou've got, you've got my, my love\nHeart and soul"
19,Bruce Springsteen,Night,"Night par Bruce Springsteen\nYou get up every morning at the sound of the bell\n\n\nYou get to work late and the boss man's giving you hell\n\n\nTill you're out on a midnight run\n\n\nLosing your heart to a beautiful one\n\n\nAnd it feels right as you lock up the house\n\n\nTurn out the lights and step out into the night\n\n\n\n\n\nAnd the world is busting at its seams\n\n\nAnd you're just a prisoner of your dreams\n\n\nHolding on for your life cause you work all day\n\n\nTo blow 'em away in the night\n\n\n\n\n\nThe rat traps filled with soul crusaders\n\n\nThe circuit's lined and jammed with chromed invaders\n\n\n\n\n\n\nAnd she's so pretty that you're lost in the stars\n\n\nAs you jockey your way through the cars\n\n\nAnd sit at the light, as it changes to green\n\n\nWith your faith in your machine off you scream into the night\n\n\n\n\n\nAnd you're in love with all the wonder it brings\n\n\nAnd every muscle in your body sings as the highway ignites\n\n\nYou work nine to five and somehow you survive till the night\n\n\nHell all day they're busting you up on the outside\n\n\nBut tonight you're gonna break on through to the inside\n\n\nAnd it'll be right, it'll be right, and it'll be tonight\n\n\n\n\n\n\n\n\n\nAnd you know she will be waiting there\n\n\nAnd you'll find her somehow you swear\n\n\nSomewhere tonight you run sad and free\n\n\nUntil all you can see is the night"
20,Bruce Springsteen,Out in the Street,"Out in the Street par Bruce Springsteen\nPut on your best dress baby\n\n\nAnd darlin', fix your hair up right\n\n\nCause there's a party, honey\n\n\nWay down beneath the neon lights\n\n\nAll day you've been working that hard line\n\n\nNow tonight you're gonna have a good time\n\n\n\n\n\nI work five days a week girl\n\n\nLoading crates down on the dock\n\n\nI take my hard earned money\n\n\nAnd meet my girl down on the block\n\n\nAnd Monday when the foreman calls time\n\n\nI've already got Friday on my mind\n\n\n\n\n\nWhen that whistle blows\n\n\nGirl, I'm down the street\n\n\n\n\n\n\nI'm home, I'm out of my work clothes\n\n\nWhen I'm out in the street\n\n\nI walk the way I wanna walk\n\n\nWhen I'm out in the street\n\n\nI talk the way I wanna talk\n\n\nWhen I'm out in the street\n\n\nWhen I'm out in the street\n\n\n\n\n\nWhen I'm out in the street, girl\n\n\nWell, I never feel alone\n\n\nWhen I'm out in the street, girl\n\n\nIn the crowd I feel at home\n\n\nThe black and whites they cruise by\n\n\nAnd they watch us from the corner of their eye\n\n\n\n\n\nBut there ain't no doubt girl, down here\n\n\nWe ain't gonna take what they're handing out\n\n\nWhen I'm out in the street\n\n\n\n\n\n\nI walk the way I wanna walk\n\n\nWhen I'm out in the street\n\n\nI talk the way I wanna talk\n\n\nBaby, out in the street I don't feel sad or blue\n\n\nBaby, out in the street I'll be waiting for you\n\n\n\n\n\nWhen the whistle blows\n\n\nGirl, I'm down the street\n\n\nI'm home, I'm out of my work clothes\n\n\nWhen I'm out in the street\n\n\nI walk the way I wanna walk\n\n\nWhen I'm out in the street\n\n\nI talk the way I wanna talk\n\n\n\n\n\nWhen I'm out in the street\n\n\nPretty girls, they're all passing by\n\n\nWhen I'm out in the street\n\n\nFrom the corner, we give them the eye\n\n\n\n\n\n\n\n\n\nBaby, out in the street I just feel all right\n\n\nMeet me out in the street, little girl, tonight\n\n\nMeet me out in the street\n\n\nMeet me out in the street"
21,Bruce Springsteen,The Ties That Bind,"re all cried out, you say\nYou walk down the street pushin' people out of your way\nYou packed your bags and all alone you wanna ride\nYou don't want nothin', don't need no one by your side\n\nYou're walkin' tough baby, but you're walkin' blind\nTo the ties that bind\nThe ties that bind\nNow you can't break the ties that bind\n\nCheap romance, it's all just, just a crutch\nYou don't want nothin' that anybody can touch\nYou're so afraid of being somebody's fool\nNot walkin' tough baby, not walkin' cool\n\nYou walk cool, but darlin', can you walk the line?\nAnd face the ties that bind\nThe ties that bind\nNow you can't break the ties that bind\n\nOh, I'd rather feel the hurt inside, yes I would darlin'\nThan know, than know the emptiness your heart must hide\nYes I would darlin', yes I would darlin'\nYes I would baby\n\nYou sit and wonder just who's gonna stop the rain\nWho'll ease the sadness, who's gonna quiet the pain?\nIt's a long dark highway and a thin white line\nConnecting baby, your heart to mine\n\nWe're runnin' now but darlin' we will stand in time\nTo face the ties that bind\nThe ties that bind\nNow you can't break the ties that bind\n\nYou can't forsake the ties that bind"
22,Bruce Springsteen,My Hometown,"My Hometown par Bruce Springsteen\nI was eight years old and running with a dime in my hand\n\n\nInto the bus stop to pick up a paper for my old man\n\n\nI'd sit on his lap in that big old Buick and steer as we drove through town\n\n\nHe'd tousle my hair and say son take a good look around\n\n\nThis is your hometown, this is your hometown\n\n\nThis is your hometown, this is your hometown\n\n\n\n\n\nIn `65 tension was running high at my high school\n\n\nThere was a lot of fights between the black and white\n\n\nThere was nothing you could do\n\n\n\n\n\n\nTwo cars at a light on a Saturday night in the back seat there was a gun\n\n\nWords were passed in a shotgun blast\n\n\nTroubled times had come to my hometown\n\n\nMy hometown, my hometown, my hometown\n\n\n\n\n\nNow Main Street's whitewashed windows and vacant stores\n\n\nSeems like there ain't nobody wants to come down here no more\n\n\nThey're closing down the textile mill across the railroad tracks\n\n\nForeman says these jobs are going boys and they ain't coming back to\n\n\nYour hometown, your hometown, your hometown, your hometown\n\n\n\n\n\nLast night me and Kate we laid in bed talking about getting out\n\n\n\n\n\n\nPacking up our bags maybe heading south\n\n\nI'm thirty-five we got a boy of our own now\n\n\nLast night I sat him up behind the wheel and said son take a good \n\n\nlook around\n\n\nThis is your hometown"
23,Bruce Springsteen,Two Faces,"Two Faces par Bruce Springsteen\nI met a girl and we ran away\n\n\nI swore I'd make her happy every day\n\n\nAnd how I made her cry\n\n\nTwo faces have I\n\n\nSometimes, mister, I feel sunny and wild\n\n\nLord, I love to see my baby smile\n\n\nThen dark clouds come rolling by\n\n\nTwo faces have I\n\n\nOne that laughs, one that cries\n\n\nOne says hello, one says goodbye\n\n\nOne does things I don't understand\n\n\nMakes me feel like half a man\n\n\nAt night I get down on my knees and pray\n\n\nOur love will make that other man go away\n\n\nBut he'll never say goodbye\n\n\nTwo faces have I\n\n\n\n\n\n\nLast night as I kissed you 'neath the willow tree\n\n\nHe swore he'd take your love away from me\n\n\nHe said our life was just a lie\n\n\nAnd two faces have I\n\n\nWell go ahead and let him try"
24,Bruce Springsteen,Roulette,"n the yard\nI took my wife and kids and left my home unguarded\nWe packed what we could into the car\nNo one here knows how it started\nSuddenly everything was just so out of control\nNow I want some answers, mister, I need to know\nI hear all the talk but I don't know what you're sayin'\nBut I think I got a good idea of the game that you're playin'\n\nRoulette, that's the name\nRoulette, that's the game now\nRoulette, I don't know what they're sayin'\nRoulette, everybody's playin'\n\nI grew up here on this street\nWhere nothin' moves, just a strange breeze\nIn a town full of worthless memories\nThere's a shadow in my backyard\nI've got a house full of things that I can't touch\nWell all those things won't do me much good now\nI was a fireman out at Riker's, I did my job\nMister, I've been cheated, I feel like I've been robbed\nI'm the big expendable, my life's just canceled null and void\nWell what you gonna do about your new boy\n\nRoulette, you're playin' with my life\nRoulette, with my kids and my wife\nRoulette, every day the stakes get bigger\nRoulette, a different finger on the trigger\n\nDown by the river that talks\nThe night speaks in searchlights\nAnd shortwave radios squawk\nThe police patrol the streets\nBut I've left behind the man I used to be\nEverything he believed and all that belonged to me\nI tried to find my way out to somewhere where I thought it'd be safe\nThey stopped me at the roadblock they put up on the interstate\nThey put me in detention but I broke loose and then I ran\nThey said they want to ask me a few questions but I think they had other plans\nNow I don't know who to trust and I don't know what I can believe\nThey say they want to help me but with the stuff they keep on sayin'\nI think those guys just wanna keep on playin'\n\nRoulette, with my life\nRoulette, with my kids and my wife\nRoulette, the bullet's in the chamber\nRoulette, who's the unlucky stranger\nRoulette, surprise, you're dead\nRoulette, the gun's to your head\nRoulette, the bullet's spinning in the chamber\nRoulette, pull the trigger, feel the click\nNo further danger"
25,Bruce Springsteen,We Are Alive,"der up on Calvary Hill\nThere's a slip of blood on a silver knife\nThere's a graveyard kid down below\nWhere at night did come to life\nAnd above the stars, they crackle in fire\nA dead man's moon throws seven rings\nWell, we put our ears to the cold grave stones\nThis is the song they'd sing\nWe are alive\nAnd though our bodies lie alone here in the dark\nOur spirits rise to carry the fire and light the spark\nTo stand shoulder to shoulder and heart to heart\n\nA voice cried out, I was killed in Maryland in 1877\nWhen the railroad workers made their stand\nWell, I was killed in 1963 one Sunday morning in Birmingham\nWell, I died last year crossing the southern desert\nMy children left behind in San Pablo\nWell they left our bodies here to rot\nOh please let them know\nWe are alive\nOh, and though we lie alone here in the dark\nOur souls will rise to carry the fire and light the spark\nTo fight shoulder to shoulder and heart to heart\n\nLet your mind rest easy, sleep well my friend\nIt's only our bodies that betray us in the end\n\nI awoke last night in a dark and dreamy deep\nFrom my head to my feet, my body had gone stone cold\nThere were worms crawling all around me\nFingers scratching at an earth black and six foot low\nAnd alone in the blackness of my grave\nAlone I'd been left to die\nThen I heard voices calling all around me\nThe earth rose above me, my eyes filled with sky\nWe are alive\nAnd though our bodies lie alone here in the dark\nOur souls and spirits rise\nTo carry the fire and light the spark\nTo fight shoulder to shoulder and heart to heart\nTo stand shoulder to shoulder and heart to heart\nWe are alive"
26,Bruce Springsteen,Johnny Bye Bye," her money from the Southern Trust\nAnd put her little boy on the Greyhound bus\nLeaving Memphis with a guitar in his hand\nWith a one-way ticket to the promised land\nHey, little girl with the red dress on\nThere's party, tonight, down in Memphis town\nI'll be going down there if you need a ride\nThe man on the radio says Elvis Presley's died\n\nWe drove to Memphis, the sky was hard and black\nUp over the ridge came a white Cadillac\nThey drawed out all his money, and they laid him in the back\nA woman cried from the roadside: Oh, he's gone, he's gone\nThey found him slumped up against the drain\nWith a whole lotta trouble running through his veins\n\nBye-bye, Johnny\nJohnny, bye-bye\nYou didn't have to die\nYou didn't have to die"
27,Bruce Springsteen,Rocky Ground,"Rocky Ground par Bruce Springsteen\n[Alan Lomax]\n\n\nI'm a soldier... soldier...\n\n\n\n\n\n[Michelle Moore]\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\n\n\n\n[Bruce Springsteen]\n\n\nRise up, shepherd, rise up\n\n\nYour flock has roamed far from the hill\n\n\n\n\n\n\nThe stars have faded, the sky is still\n\n\nThe angels are shouting “Glory hallelujah”\n\n\n\n\n\n[Moore]\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\n\n\n\n[Springsteen]\n\n\nForty days and nights of rain washed this land\n\n\nJesus said the money changers in this temple will not stand\n\n\nFind your flock, get them to higher ground\n\n\nThe floodwater’s rising, we’re Canaan bound\n\n\n\n\n\n[Moore and (Lomax)]\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\n\n\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\n(I'm a soldier...)\n\n\n\n\n\n[Springsteen]\n\n\nTend to your flock or they will stray\n\n\nWe’ll be called for our service come judgment day\n\n\nBefore we cross that river wide\n\n\nThe blood on our hands will come back on us twice\n\n\n\n\n\n(I'm a soldier...)\n\n\n[ Moore]\n\n\nYou use your muscle and your mind and you pray your best\n\n\nThat your best is good enough, the Lord will do the rest\n\n\nYou raise your children and you teach them to walk straight and sure\n\n\n\n\n\n\nYou pray that hard times, hard times come no more\n\n\nYou try to sleep, you toss and turn, the bottom’s dropping out\n\n\nWhere you once had faith, now there’s only doubt\n\n\nYou pray for guidance, only silence now meets your prayers\n\n\nThe morning breaks, you awake, but no one’s there\n\n\nNo one's there....\n\n\n\n\n\n[Coda: Moore]\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground\n\n\nWe’ve been traveling over rocky ground, rocky ground"
28,Bruce Springsteen,Gypsy Biker,"heir money on the blood you shed\nYour momma's pulled the sheets up off your bed\nProfiteers on Jhames Street sold your shoes and clothes\nAin't nobody talkin' because everybody knows\nWe pulled your cycle up back the garage and polished up the chrome*\nOur gypsy biker coming home\n\nSister Mary sits with your colors, but Johnny's drunk and gone\nThis old town's been rousted, which side you on?\nThey would march up over the hill, this old fools parade\nShouting victory for the righteous for you must hear the grace\nAin't nobody talkin', but just waiting on the phone\nGypsy biker coming home\n\nWhoa!\n\nWe rode into the foothills, Bobby brought the gasoline\nWe stood around the circle as she lit up the ravine\nThe spring hot desert wind rushed down on us all the way back home\n\nTo the dead, well it don't matter much 'bout who's wrong or right\nYou asked me that question, I didn't get it right\nYou slipped into your darkness, now all that remains\nIs my love for you brother, life's still unchanged\nTo him that threw you away, you ain't nothing but gone\nMy gypsy biker's coming home\n\nAnd now I'm out countin' white lines\nCountin' white lines and getting stoned\nMy gypsy biker's coming home\n\nWhoa!\n\nLa la la la\nLa la la la\nLa la la la\nLa la la la\nLa la la la\nLa la la la\nLa la la la\nLa la la la"
29,Bruce Springsteen,Jack of All Trades,"Jack Of All Trades par Bruce Springsteen\nI'll mow your lawn, clean the leaves out your drain\n\n\nI'll mend your roof to keep out the rain\n\n\nI'll take the work that God provides\n\n\nI'm a Jack of all trades, honey, we'll be alright\n\n\n\n\n\nI'll hammer the nails and I'll set the stone\n\n\nI'll harvest your crops when they're ripe and grown\n\n\nI'll pull that engine apart and patch her up 'til she's running right\n\n\nI'm a Jack of all trades, we'll be alright\n\n\n\n\n\nThe hurricane blows, brings a hard rain\n\n\nWhen the blue sky breaks, it feels like the world's gonna change\n\n\n\n\n\n\nWe'll start caring for each other like Jesus said that we might\n\n\nI'm a Jack of all trades, we'll be alright\n\n\n\n\n\nThe banker man grows fat, the working man grows thin\n\n\nIt's all happened before and it'll happen again\n\n\nIt'll happen again, yeah, they'll bet your life\n\n\nI'm a Jack of all trades, darling, we'll be alright\n\n\n\n\n\nNow sometimes tomorrow comes soaked in treasure and blood\n\n\nHere we stood the drought, now we'll stand the flood\n\n\nThere's a new world coming, I can see the light\n\n\nI'm a Jack of all trades, we'll be alright\n\n\n\n\n\n\n\n\n\nSo you use what you've got and you learn to make do\n\n\nYou take the old, you make it new\n\n\nIf I had me a gun, I'd find the bastards and shoot 'em on sight\n\n\nI'm a Jack of all trades, we'll be alright\n\n\nI'm a Jack of all trades, we'll be alright"
30,Bruce Springsteen,Better Days,"out missing as I sat listening\nTo the hours and minutes tickin' away\nYeah, just sittin' around waitin' for my life to begin\nWhile it was all just slippin' away\n\nAnd I'm tired of waitin' for tomorrow to come\nFor that train to come roarin' 'round the bend\nI got a new suit of clothes and a pretty red rose\nAnd a woman I can call my friend\n\nThese are better days, baby\nYeah, there's better days shining through\nThese are better days, baby\nBetter days with a girl like you\n\nWell, I took a piss at fortune's sweet kiss\nIt's like eatin' caviar and dirt\nIt's a sad funny ending to find yourself pretending\nYou're a rich man in a poor man's shirt\n\nNow my ass was draggin' when from a passin' gypsy wagon\nYour heart like a diamond shone\nTonight I'm layin' in your arms carvin' lucky charms\nOut of these hard luck bones\n\nThese are better days, baby\nThese are better days, it's true\nThese are better days, baby\nThere's better days shining through\n\nNow a life of leisure and a pirate's treasure\nDon't make much for tragedy\nBut it's a sad man, my friend, who's livin' in his own skin\nAnd can't stand the company\n\nEvery fool's got a reason to feelin' sorry for himself\nAnd turnin' his heart to stone\nTonight this fool's halfway to heaven and just a mile outta hell\nAnd I feel like I'm comin' home\n\nThese are better days, baby\nThere's better days shining through\nThese are better days, baby\nBetter days with a girl like you\n\nThese are better days, baby\nThese are better days, it's true\nThese are better days\nBetter days are shining through\n\nThese are better days, baby\nAh, better days, it's true\nThese are better days, baby\nBetter days are shining through\n\nThese are better days, baby\nAh, better days, it's true\nThese are better days, baby\nBetter days are shining through"
31,Bruce Springsteen,Cadillac Ranch,"uddy justa gleaming in the sun\nThere to greet a working man when his day is done\nI'm gonna pack my pa and I'm gonna pack my aunt\nI'm gonna take them down to the Cadillac Ranch\n\nEldorado fins, whitewalls and skirts\nRides just like a little bit of heaven here on earth\nWell buddy when I die throw my body in the back\nAnd drive me to the junkyard in my Cadillac\n\nCadillac, Cadillac\nLong and dark, shiny and black\nOpen up your engines let 'em roar\nTearing up the highway like a big old dinosaur\n\nJames Dean in that Mercury '49\nJunior Johnson runnin' through the woods of Caroline\nEven Burt Reynolds in that black Trans-Am\nAll gonna meet down at the Cadillac Ranch\n\nCadillac, Cadillac\nLong and dark, shiny and black\nOpen up them engines let 'em roar\nTearing up the highway like a big old dinosaur\n\nHey, little girlie in the blue jeans so tight\nDrivin' alone through the Wisconsin night\nYou're my last love baby you're my last chance\nDon't let 'em take me to the Cadillac Ranch\n\nCadillac, Cadillac\nLong and dark, shiny and black\nPulled up to my house today\nCame and took my little girl away"
32,Bruce Springsteen,Your Own Worst Enemy,Your Own Worst Enemy par Bruce Springsteen\nYou can't sleep at night\n\n\nYou can't dream your dream\n\n\nYour fingerprints on file\n\n\nLeft clumsily at the scene\n\n\n\n\n\nYour own worst enemy has come to town\n\n\nYour own worst enemy has come to town\n\n\n\n\n\nYesterday the people were at ease\n\n\nBaby you slept in peace\n\n\nYou closed your eyes and saw her\n\n\nYou knew who you were\n\n\n\n\n\nAnd your own worst enemy has come to town\n\n\nYour own worst enemy has come\n\n\nYour world keeps turning round and round\n\n\n\n\n\n\nBut everything is upside down\n\n\nYour own worst enemy has come to town\n\n\n\n\n\nThere's a face you know\n\n\nStaring back from the shop window\n\n\nThe condition you're in\n\n\nNow you just can't get out of this skin\n\n\n\n\n\nAh ah ah[x3]\n\n\nHooo\n\n\n\n\n\nThe times they got too clear\n\n\nSo you removed all the mirrors\n\n\nOnce the family felt secure\n\n\nNow no one's very sure\n\n\n\n\n\nYour own worst enemy has come to town\n\n\nYour own worst enemy's come\n\n\n\n\n\n\nEverything is falling down\n\n\nYour own worst enemy has come to town\n\n\nYour own worst enemy has come\n\n\nEverything is falling down\n\n\nYour own worst enemy has come to town\n\n\nYour own worst enemy has come to town\n\n\nYour flag it flew so high\n\n\nIt drifted into the sky
33,Bruce Springsteen,Seeds,"er a man had found\nSo he put all his money in a hole in the ground\nAnd sent a big steel arm drivin' down down down\nMan now I live on the streets of Houston town\n\nPacked up my wife and kids when winter came along\nAnd we headed down south with just spit and a song\nBut they said \""Sorry son it's gone gone gone\""\n\nWell there's men hunkered down by the railroad tracks\nThe Elkhorn Special blowin' my hair back\nTents pitched on the highway in the dirty moonlight\nAnd I don't know where I'm gonna sleep tonight\n\nParked in the lumberyard freezin' our asses off\nMy kids in the back seat got a graveyard cough\nWell I'm sleepin' up in front with my wife\nBilly club tappin' on the windshield in the middle of the night\nSays \""Move along man move along\""\n\nWell big limousine long shiny and black\nYou don't look ahead you don't look back\nHow many times can you get up after you've been hit?\nWell I swear if I could spare the spit\nI'd lay one on your shiny chrome\nAnd send you on your way back home\nSo if you're gonna leave your town where the north wind blow\nTo go on down where that sweet soda river flow\nWell you better think twice on it Jack\nYou're better off buyin' a shotgun dead off the rack\nYou ain't gonna find nothin' down here friend\nExcept seeds blowin' up the highway in the south wind"
34,Bruce Springsteen,Glory Days," a friend was a big baseball player\nBack in high school\nHe could throw that speedball by ya\nMake you look like a fool, boy\n\nSaw him the other night at this roadside bar\nI was walking in; he was walking out\nWe went back inside, sat down, had a few drinks\nBut all he kept talking about was\n\nGlory days, yeah, they'll pass you by\nGlory days, in the wink of a young girl's eye\nGlory days, glory days\n\nAlright!\n\nWell there's a girl that lives up the block\nBack at school she could turn all the boys' heads\nSometimes on a Friday I'll stop by and have a few drinks\nAfter she put her kids to bed\n\nHer and her husband Bobby, well, they split up\nI guess it's two years gone by now\nWe just sit around talking about the old times\nShe says when she feels like crying she starts laughing thinking about\n\nGlory days, yeah, they'll pass you by\nGlory days, in the wink of a young girl's eye\nGlory days, glory days\n\nOooh!\n\nI think I'm going down to the well tonight\nAnd I'm gonna drink 'til I get my fill\nAnd I hope when I get old I don't sit around thinking about it\nBut I probably will\n\nYeah, just sittin' back trying to recapture\nA little of the glory, yeah\nWell, the time slips away and leaves you with nothing, mister\nBut boring stories of\n\nGlory days, yeah, they'll pass you by\nGlory days, in the wink of a young girl's eye\nGlory days, glory days\n\nYeah, they'll pass you by\nGlory days, in the wink of a young girl's eye\nGlory days, glory days\n\nWell alright, ooh, yeah\nWell alright (Alright), come on now\nWell alright (Alright), ooh, yeah\nWell alright (Alright), come on now\n\nOooh\nOoohooo\nOoohooo\nOoohooo\n\nAlright, boys, keep it rocking now!\nKeep on goin'\nWe gonna go home now\nWe're goin' home\nAlright\nWell alright\nWell alright\nWell alright\nWell alright\nWell alright\nWell alright\nWell alright\nLet's go!"
35,Bruce Springsteen,Walk Like a Man,"Walk Like A Man par Bruce Springsteen\nI remember how rough your hand felt on mine\n\n\nOn my wedding day\n\n\nAnd the tears cried on my shoulder\n\n\nI couldn't turn away\n\n\nWell so much has happened to me\n\n\nThat I don't understand\n\n\nAll I can think of is being five years old following behind you at the beach\n\n\nTracing your footprints in the sand\n\n\nTrying to walk like a man\n\n\n\n\n\nBy Our Lady of the Roses\n\n\nWe lived in the shadow of the elms\n\n\nI remember ma draggin' me and my sister up the street to the church\n\n\nWhenever she heard those wedding bells\n\n\n\n\n\n\nWell, would they ever look so happy again\n\n\nThe handsome groom and his bride\n\n\nAs they stepped into that long black limousine\n\n\nFor their mystery ride\n\n\n\n\n\nWell, tonight you step away from me\n\n\nAnd alone at the altar I stand\n\n\nAnd as I watch my bride coming down the aisle I pray\n\n\nFor the strength to walk like a man\n\n\n\n\n\nWell, now the years have gone and I've grown\n\n\nFrom that seed you've sown\n\n\nBut I didn't think there'd be so many steps\n\n\nI'd have to learn on my own\n\n\nWell, I was young and I didn't know what to do\n\n\nWhen I saw your best steps stolen away from you\n\n\nNow I'll do what I can\n\n\n\n\n\n\nI'll walk like a man\n\n\nAnd I'll keep on walkin'"
36,Bruce Springsteen,American Skin (41 Shots),"American Skin (41 Shots) par Bruce Springsteen\n41 shots\n\n\nAnd we'll take that ride\n\n\nAcross this bloody river\n\n\nTo the other side\n\n\n41 shots\n\n\nCut through the night\n\n\nYou're kneeling over his body in the vestibule\n\n\nPraying for his life\n\n\n\n\n\nWell, is it a gun? Is it a knife\n\n\nIs it a wallet? This is your life\n\n\nIt isn't no secret (It is no secret)\n\n\nNo secret my friend\n\n\nYou can get killed just for living in your American skin\n\n\n\n\n\n\n\n\n\n41 shots\n\n\n41 shots\n\n\n41 shots\n\n\n41 shots\n\n\n\n\n\n41 shots\n\n\nLena gets her son ready for school\n\n\nShe says, \""On these streets, Charles\n\n\nYou've got to understand the rules\n\n\nIf an officer stops you\n\n\nPromise me you'll always be polite\n\n\nAnd that you'll never ever run away\n\n\nPromise Mama you'll keep your hands in sight\""\n\n\n\n\n\n41 shots\n\n\n41 shots\n\n\n41 shots\n\n\n41 shots\n\n\n\n\n\n\n\n\n\nWell, is it a gun? Is it a knife\n\n\nIs it a wallet? This is your life\n\n\nIt isn't no secret (It is no secret)\n\n\nNo secret my friend\n\n\nYou can get killed just for living in your American skin\n\n\n\n\n\n41 shots\n\n\nAnd we'll take that ride\n\n\nAcross this bloody river\n\n\nTo the other side\n\n\n41 shots\n\n\nI got my boots caked in this mud\n\n\nBaptized in these waters (we're baptized in these waters)\n\n\nAnd in each other's blood (and in each other's blood)\n\n\n\n\n\n\n\n\n\nWell, is it a gun? Is it a knife\n\n\nIs it a wallet? This is your life\n\n\nIt isn't no secret (It is no secret)\n\n\nNo secret my friend\n\n\nYou can get killed just for living in your American skin"
37,Bruce Springsteen,She’s the One,
38,Bruce Springsteen,Radio Nowhere,y way home\nBut all I heard was a drone\nBouncing off a satellite\nCrushing the last long American night\n\nThis is radio nowhere\nIs there anybody alive out there?\nThis is radio nowhere\nIs there anybody alive out there?\n\nI was staring at a dead dial\nJust another lost number in a file\nDancing down a dark hole\nJust searching for a world with some soul\n\nThis is radio nowhere\nIs there anybody alive out there?\nThis is radio nowhere\nIs there anybody alive out there?\nIs there anybody alive out there?\n\nI just want to hear some rhythm\nI just want to hear some rhythm\nI just want to hear some rhythm\nI just want to hear some rhythm\n\nI want a thousand guitars\nI want pounding drums\nI want a million different voices speaking in tongues\n\nThis is radio nowhere\nIs there anybody alive out there?\nThis is radio nowhere\nIs there anybody alive out there?\nIs there anybody alive out there?\n\nI was driving through the misty rain\nAnd just searching for a mystery train\nBopping through the wild blue\nTrying to make a connection with you\n\nThis is radio nowhere\nIs there anybody alive out there?\nThis is radio nowhere\nIs there anybody alive out there?\nIs there anybody alive out there?\n\nI just want to feel some rhythm\nI just want to feel some rhythm\nI just want to feel your rhythm\nI just want to feel your rhythm\n\nI just want to feel your rhythm\nI just want to feel your rhythm\nI just want to feel your rhythm\nI just want to feel your rhythm
